Time (ms),RB_Joint1,RB_Joint2
0,57.337532043457,61.6233062744141
33,56.9607124328613,63.615650177002
67,56.9254417419434,64.6593170166016
100,57.1234092712402,64.3519821166992
133,57.1256370544434,63.2827682495117
167,56.985164642334,61.7787475585938
200,57.2679443359375,59.8979530334473
233,57.990650177002,58.4290237426758
267,58.4042434692383,58.8062133789063
300,58.2828178405762,61.1412086486816
333,58.3523750305176,63.6251258850098
367,58.9370727539063,64.9935302734375
400,59.389102935791,65.3615188598633
433,59.3292846679688,65.2044448852539
467,59.215576171875,64.9530563354492
500,59.2826614379883,64.9395065307617
533,59.118236541748,65.1568298339844
567,58.6001625061035,65.1810607910156
600,58.2779960632324,64.6416549682617
633,58.3347663879395,63.8521118164063
667,58.2113037109375,63.5725440979004
700,57.9187965393066,64.0512084960938
733,58.3626556396484,64.8469390869141
767,59.6567573547363,65.4301071166992
800,60.8424797058105,65.5337295532227
833,61.5163497924805,65.187255859375
867,62.1051597595215,64.7097320556641
900,62.9813537597656,64.5426330566406
933,64.0876083374023,64.9424819946289
967,65.0380325317383,65.7329254150391
1000,65.4861297607422,66.3730926513672
1033,65.2102966308594,66.5937652587891
1067,64.0699234008789,66.6694107055664
1100,62.5595664978027,67.0013427734375
1133,61.6835823059082,68.0407562255859
1167,62.1197700500488,70.0834884643555
1200,63.8045654296875,72.7788238525391
1233,65.8135147094727,74.6665115356445
1267,67.209098815918,74.6690673828125
1300,68.0149383544922,74.1839370727539
1333,68.7115173339844,74.8522186279297
1367,69.3738479614258,75.7496948242188
1400,69.7064819335938,75.0688247680664
1433,69.5554275512695,72.9472961425781
1467,69.0387878417969,70.7852020263672
1500,68.1638565063477,69.8643035888672
1533,67.1598434448242,71.2187118530273
1567,66.9922485351563,74.7865982055664
1600,68.0095291137695,78.7380065917969
1633,68.9729614257813,80.9352645874023
1667,68.865966796875,81.3602447509766
1700,68.0915374755859,81.3918304443359
1733,67.2993469238281,81.5552825927734
1767,66.5812530517578,81.3150329589844
1800,65.8310852050781,80.0550384521484
1833,65.2646026611328,77.974609375
1867,65.3654251098633,75.9318618774414
1900,66.1846160888672,74.5865936279297
1933,67.0343399047852,74.4643096923828
